Descri??o do Alimento,GRUPO,Medida Caseira,Gramas
Arroz integral (cozido),,Pegador,25
Arroz integral (cozido),,Pote,100
Arroz integral (cozido),,Prato Sobremesa,50
Arroz integral (cozido),,Prato Fundo,200
Arroz integral (cozido),,Prato Raso,100
Arroz integral (cozido),,Tigela,100
Arroz integral (cozido),,Xícara de Chá,100
Arroz integral (cru),,Colher de Arroz,45
Arroz integral (cru),,Colher de Sopa,25
Arroz integral (cru),,Concha,100
Arroz integral (cru),,Escumadeira,85
Arroz integral (cru),,Colher de Chá,6
Arroz integral (cru),,Colher de Café,3
Arroz integral (cru),,Colher de Sobremesa,12
Arroz integral (cru),,Copo Americano,100
Arroz integral (cru),,Copo Médio,200
Arroz integral (cru),,Copo Grande,200
Arroz integral (cru),,Pegador,25
Arroz integral (cru),,Pote,100
Arroz integral (cru),,Prato Sobremesa,50
Arroz integral (cru),,Prato Fundo,200
Arroz integral (cru),,Prato Raso,100
Arroz integral (cru),,Tigela,100
Arroz integral (cru),,Xícara de Chá,100
Arroz integral (cru) -Tio João(),,Colher de Arroz,45
Arroz integral (cru) -Tio João(),,Colher de Sopa,25
Arroz integral (cru) -Tio João(),,Concha,100
Arroz integral (cru) -Tio João(),,Escumadeira,85
Arroz integral (cru) -Tio João(),,Colher de Chá,6
Arroz integral (cru) -Tio João(),,Colher de Café,3
Arroz integral (cru) -Tio João(),,Colher de Sobremesa,12
Arroz integral (cru) -Tio João(),,Copo Americano,100
Arroz integral (cru) -Tio João(),,Copo Médio,200
Arroz integral (cru) -Tio João(),,Copo Grande,200
Arroz integral (cru) -Tio João(),,Pegador,25
Arroz integral (cru) -Tio João(),,Pote,100
Arroz integral (cru) -Tio João(),,Prato Sobremesa,50
Arroz integral (cru) -Tio João(),,Prato Fundo,200
Arroz integral (cru) -Tio João(),,Prato Raso,100
Arroz integral (cru) -Tio João(),,Tigela,100
Arroz integral (cru) -Tio João(),,Xícara de Chá,100
Arroz integral orgânico,CEREAIS,Colher de Arroz,45
Arroz integral orgânico,CEREAIS,Colher de Sopa,25
Arroz integral orgânico,CEREAIS,Concha,100
Arroz integral orgânico,CEREAIS,Escumadeira,85
Arroz integral orgânico,CEREAIS,Colher de Chá,6
Arroz integral orgânico,CEREAIS,Colher de Café,3
Arroz integral orgânico,CEREAIS,Colher de Sobremesa,12
Arroz integral orgânico,CEREAIS,Copo Americano,100
Arroz integral orgânico,CEREAIS,Copo Médio,200
Arroz integral orgânico,CEREAIS,Copo Grande,200
Arroz integral orgânico,CEREAIS,Pegador,25
Arroz integral orgânico,CEREAIS,Pote,100
Arroz integral orgânico,CEREAIS,Prato Sobremesa,50
Arroz integral orgânico,CEREAIS,Prato Fundo,200
Arroz integral orgânico,CEREAIS,Prato Raso,100
Arroz integral orgânico,CEREAIS,Tigela,100
Arroz integral orgânico,CEREAIS,Xícara de Chá,100
Arroz integral orgânico (cru) - Tio João(),,Colher de Arroz,45
Arroz integral orgânico (cru) - Tio João(),,Colher de Sopa,25
Arroz integral orgânico (cru) - Tio João(),,Concha,100
Arroz integral orgânico (cru) - Tio João(),,Escumadeira,85
Arroz integral orgânico (cru) - Tio João(),,Colher de Chá,6
Arroz integral orgânico (cru) - Tio João(),,Colher de Café,3
Arroz integral orgânico (cru) - Tio João(),,Colher de Sobremesa,12
Arroz integral orgânico (cru) - Tio João(),,Copo Americano,100
Arroz integral orgânico (cru) - Tio João(),,Copo Médio,200
Arroz integral orgânico (cru) - Tio João(),,Copo Grande,200
Arroz integral orgânico (cru) - Tio João(),,Pegador,25
Arroz integral orgânico (cru) - Tio João(),,Pote,100
Arroz integral orgânico (cru) - Tio João(),,Prato Sobremesa,50
Arroz integral orgânico (cru) - Tio João(),,Prato Fundo,200
Arroz integral orgânico (cru) - Tio João(),,Prato Raso,100
Arroz integral orgânico (cru) - Tio João(),,Tigela,100
Arroz integral orgânico (cru) - Tio João(),,Xícara de Chá,100
Arroz integral parboilizaclo - Uncle Ben's0,,Colher de Arroz,45
Arroz integral parboilizaclo - Uncle Ben's0,,Colher de Sopa,25
Arroz integral parboilizaclo - Uncle Ben's0,,Concha,100
Arroz integral parboilizaclo - Uncle Ben's0,,Escumadeira,85
Arroz integral parboilizaclo - Uncle Ben's0,,Colher de Chá,6
Arroz integral parboilizaclo - Uncle Ben's0,,Colher de Café,3
Arroz integral parboilizaclo - Uncle Ben's0,,Colher de Sobremesa,12
Arroz integral parboilizaclo - Uncle Ben's0,,Copo Americano,100
Arroz integral parboilizaclo - Uncle Ben's0,,Copo Médio,200
Arroz integral parboilizaclo - Uncle Ben's0,,Copo Grande,200
Arroz integral parboilizaclo - Uncle Ben's0,,Pegador,25
Arroz integral parboilizaclo - Uncle Ben's0,,Pote,100
Arroz integral parboilizaclo - Uncle Ben's0,,Prato Sobremesa,50
Arroz integral parboilizaclo - Uncle Ben's0,,Prato Fundo,200
Arroz integral parboilizaclo - Uncle Ben's0,,Prato Raso,100
Arroz integral parboilizaclo - Uncle Ben's0,,Tigela,100
Arroz integral parboilizaclo - Uncle Ben's0,,Xícara de Chá,100
Arroz parboilizado (cru) -Tio João®,,Colher de Arroz,45
Arroz parboilizado (cru) -Tio João®,,Colher de Sopa,25
Arroz parboilizado (cru) -Tio João®,,Concha,100
Arroz parboilizado (cru) -Tio João®,,Escumadeira,85
Arroz parboilizado (cru) -Tio João®,,Colher de Chá,6
Arroz parboilizado (cru) -Tio João®,,Colher de Café,3
Arroz parboilizado (cru) -Tio João®,,Colher de Sobremesa,12
Arroz parboilizado (cru) -Tio João®,,Copo Americano,100
Arroz parboilizado (cru) -Tio João®,,Copo Médio,200
Arroz parboilizado (cru) -Tio João®,,Copo Grande,200
Arroz parboilizado (cru) -Tio João®,,Pegador,25
Arroz parboilizado (cru) -Tio João®,,Pote,100
Arroz parboilizado (cru) -Tio João®,,Prato Sobremesa,50
Arroz parboilizado (cru) -Tio João®,,Prato Fundo,200
Arroz parboilizado (cru) -Tio João®,,Prato Raso,100
Arroz parboilizado (cru) -Tio João®,,Tigela,100
Arroz parboilizado (cru) -Tio João®,,Xícara de Chá,100
"Arroz, integral, cozido",,Colher de Arroz,45
"Arroz, integral, cozido",,Colher de Sopa,25
"Arroz, integral, cozido",,Concha,100
"Arroz, integral, cozido",,Escumadeira,85
"Arroz, integral, cozido",,Colher de Chá,6
"Arroz, integral, cozido",,Colher de Café,3
"Arroz, integral, cozido",,Colher de Sobremesa,12
"Arroz, integral, cozido",,Copo Americano,100
"Arroz, integral, cozido",,Copo Médio,200
"Arroz, integral, cozido",,Copo Grande,200
"Arroz, integral, cozido",,Pegador,25
"Arroz, integral, cozido",,Pote,100
"Arroz, integral, cozido",,Prato Sobremesa,50
"Arroz, integral, cozido",,Prato Fundo,200
"Arroz, integral, cozido",,Prato Raso,100
"Arroz, integral, cozido",,Tigela,100
"Arroz, integral, cozido",,Xícara de Chá,100
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Colher de Arroz,45
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Colher de Sopa,25
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Concha,100
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Escumadeira,85
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Colher de Chá,6
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Colher de Café,3
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Colher de Sobremesa,12
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Copo Americano,100
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Copo Médio,200
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Copo Grande,200
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Pegador,25
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Pote,100
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Prato Sobremesa,50
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Prato Fundo,200
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Prato Raso,100
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Tigela,100
"Arroz, integral, cozido, c/ óleo e temperos, c/ sal",,Xícara de Chá,100
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Colher de Arroz,45
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Colher de Sopa,25
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Concha,100
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Escumadeira,85
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Colher de Chá,6
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Colher de Café,3
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Colher de Sobremesa,12
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Copo Americano,100
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Copo Médio,200
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Copo Grande,200
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Pegador,25
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Pote,100
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Prato Sobremesa,50
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Prato Fundo,200
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Prato Raso,100
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Tigela,100
"Arroz, integral, cozido, c/ óleo e temperos, s/ sal",,Xícara de Chá,100
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Colher de Arroz,45
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Colher de Sopa,25
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Concha,100
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Escumadeira,85
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Colher de Chá,6
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Colher de Café,3
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Colher de Sobremesa,12
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Copo Americano,100
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Copo Médio,200
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Copo Grande,200
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Pegador,25
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Pote,100
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Prato Sobremesa,50
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Prato Fundo,200
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Prato Raso,100
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Tigela,100
"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L.",,Xícara de Chá,100
"Arroz, integral, cru",,Colher de Arroz,45
"Arroz, integral, cru",,Colher de Sopa,25
"Arroz, integral, cru",,Concha,100
"Arroz, integral, cru",,Escumadeira,85
"Arroz, integral, cru",,Colher de Chá,6
"Arroz, integral, cru",,Colher de Café,3
"Arroz, integral, cru",,Colher de Sobremesa,12
"Arroz, integral, cru",,Copo Americano,100
"Arroz, integral, cru",,Copo Médio,200
"Arroz, integral, cru",,Copo Grande,200
"Arroz, integral, cru",,Pegador,25
"Arroz, integral, cru",,Pote,100
"Arroz, integral, cru",,Prato Sobremesa,50
"Arroz, integral, cru",,Prato Fundo,200
"Arroz, integral, cru",,Prato Raso,100
"Arroz, integral, cru",,Tigela,100
"Arroz, integral, cru",,Xícara de Chá,100
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Colher de Arroz,45
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Colher de Sopa,25
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Concha,100
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Escumadeira,85
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Colher de Chá,6
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Colher de Café,3
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Colher de Sobremesa,12
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Copo Americano,100
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Copo Médio,200
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Copo Grande,200
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Pegador,25
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Pote,100
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Prato Sobremesa,50
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Prato Fundo,200
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Prato Raso,100
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Tigela,100
"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares)",,Xícara de Chá,100
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Colher de Arroz,45
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Colher de Sopa,25
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Concha,100
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Escumadeira,85
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Colher de Chá,6
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Colher de Café,3
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Colher de Sobremesa,12
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Copo Americano,100
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Copo Médio,200
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Copo Grande,200
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Pegador,25
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Pote,100
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Prato Sobremesa,50
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Prato Fundo,200
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Prato Raso,100
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Tigela,100
"Arroz, polido, cozido, c/ óleo e temperos, c/ sal",,Xícara de Chá,100
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Colher de Arroz,45
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Colher de Sopa,25
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Concha,100
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Escumadeira,85
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Colher de Chá,6
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Colher de Café,3
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Colher de Sobremesa,12
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Copo Americano,100
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Copo Médio,200
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Copo Grande,200
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Pegador,25
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Pote,100
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Prato Sobremesa,50
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Prato Fundo,200
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Prato Raso,100
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Tigela,100
"Arroz, polido, cozido, c/ óleo e temperos, s/ sal",,Xícara de Chá,100
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Colher de Arroz,45
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Colher de Sopa,25
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Concha,100
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Escumadeira,85
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Colher de Chá,6
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Colher de Café,3
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Colher de Sobremesa,12
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Copo Americano,100
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Copo Médio,200
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Copo Grande,200
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Pegador,25
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Pote,100
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Prato Sobremesa,50
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Prato Fundo,200
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Prato Raso,100
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Tigela,100
"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras)",,Xícara de Chá,100
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Colher de Arroz,45
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Colher de Sopa,25
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Concha,100
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Escumadeira,85
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Colher de Chá,6
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Colher de Café,3
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Colher de Sobremesa,12
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Copo Americano,100
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Copo Médio,200
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Copo Grande,200
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Pegador,25
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Pote,100
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Prato Sobremesa,50
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Prato Fundo,200
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Prato Raso,100
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Tigela,100
"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras)",,Xícara de Chá,100
"Arroz, tipo 1, cozido",,Colher de Arroz,45
"Arroz, tipo 1, cozido",,Colher de Sopa,25
"Arroz, tipo 1, cozido",,Concha,100
"Arroz, tipo 1, cozido",,Escumadeira,85
"Arroz, tipo 1, cozido",,Colher de Chá,6
"Arroz, tipo 1, cozido",,Colher de Café,3
"Arroz, tipo 1, cozido",,Colher de Sobremesa,12
"Arroz, tipo 1, cozido",,Copo Americano,100
"Arroz, tipo 1, cozido",,Copo Médio,200
"Arroz, tipo 1, cozido",,Copo Grande,200
"Arroz, tipo 1, cozido",,Pegador,25
"Arroz, tipo 1, cozido",,Pote,100
"Arroz, tipo 1, cozido",,Prato Sobremesa,50
"Arroz, tipo 1, cozido",,Prato Fundo,200
"Arroz, tipo 1, cozido",,Prato Raso,100
"Arroz, tipo 1, cozido",,Tigela,100
"Arroz, tipo 1, cozido",,Xícara de Chá,100
"Arroz, tipo 1, cru",,Colher de Arroz,45
"Arroz, tipo 1, cru",,Colher de Sopa,25
"Arroz, tipo 1, cru",,Concha,100
"Arroz, tipo 1, cru",,Escumadeira,85
"Arroz, tipo 1, cru",,Colher de Chá,6
"Arroz, tipo 1, cru",,Colher de Café,3
"Arroz, tipo 1, cru",,Colher de Sobremesa,12
"Arroz, tipo 1, cru",,Copo Americano,100
"Arroz, tipo 1, cru",,Copo Médio,200
"Arroz, tipo 1, cru",,Copo Grande,200
"Arroz, tipo 1, cru",,Pegador,25
"Arroz, tipo 1, cru",,Pote,100
"Arroz, tipo 1, cru",,Prato Sobremesa,50
"Arroz, tipo 1, cru",,Prato Fundo,200
"Arroz, tipo 1, cru",,Prato Raso,100
"Arroz, tipo 1, cru",,Tigela,100
"Arroz, tipo 1, cru",,Xícara de Chá,100
"Arroz, tipo 2, cozido",,Colher de Arroz,45
"Arroz, tipo 2, cozido",,Colher de Sopa,25
"Arroz, tipo 2, cozido",,Concha,100
"Arroz, tipo 2, cozido",,Escumadeira,85
"Arroz, tipo 2, cozido",,Colher de Chá,6
"Arroz, tipo 2, cozido",,Colher de Café,3
"Arroz, tipo 2, cozido",,Colher de Sobremesa,12
"Arroz, tipo 2, cozido",,Copo Americano,100
"Arroz, tipo 2, cozido",,Copo Médio,200
"Arroz, tipo 2, cozido",,Copo Grande,200
"Arroz, tipo 2, cozido",,Pegador,25
"Arroz, tipo 2, cozido",,Pote,100
"Arroz, tipo 2, cozido",,Prato Sobremesa,50
"Arroz, tipo 2, cozido",,Prato Fundo,200
"Arroz, tipo 2, cozido",,Prato Raso,100
"Arroz, tipo 2, cozido",,Tigela,100
"Arroz, tipo 2, cozido",,Xícara de Chá,100
"Arroz, tipo 2, cru",,Colher de Arroz,45
"Arroz, tipo 2, cru",,Colher de Sopa,25
"Arroz, tipo 2, cru",,Concha,100
"Arroz, tipo 2, cru",,Escumadeira,85
"Arroz, tipo 2, cru",,Colher de Chá,6
"Arroz, tipo 2, cru",,Colher de Café,3
"Arroz, tipo 2, cru",,Colher de Sobremesa,12
"Arroz, tipo 2, cru",,Copo Americano,100
"Arroz, tipo 2, cru",,Copo Médio,200
"Arroz, tipo 2, cru",,Copo Grande,200
"Arroz, tipo 2, cru",,Pegador,25
"Arroz, tipo 2, cru",,Pote,100
"Arroz, tipo 2, cru",,Prato Sobremesa,50
"Arroz, tipo 2, cru",,Prato Fundo,200
"Arroz, tipo 2, cru",,Prato Raso,100
"Arroz, tipo 2, cru",,Tigela,100
"Arroz, tipo 2, cru",,Xícara de Chá,100
Arrozina,FARINHAS/FÉCULAS/MASSAS,Copo Médio,230
Asa de frango com pele (crua),,Porção,100
Asa de frango com pele (crua),,Colher de Arroz,40
Asa de frango com pele (crua),,Colher de Sopa,20
Asa de frango com pele (crua),,Concha,80
Asa de frango com pele (crua),,Asa,40
Asa de frango com pele (crua),,Unidade,40
Asa de galinha ou frango assado(a),AVES,Porção,100
Asa de galinha ou frango assado(a),AVES,Colher de Arroz,40
Asa de galinha ou frango assado(a),AVES,Colher de Sopa,20
Asa de galinha ou frango assado(a),AVES,Concha,80
Asa de galinha ou frango assado(a),AVES,Asa,40
Asa de galinha ou frango assado(a),AVES,Unidade,40
Asa de galinha ou frango cozido(a),AVES,Porção,100
Asa de galinha ou frango cozido(a),AVES,Colher de Arroz,40
Asa de galinha ou frango cozido(a),AVES,Colher de Sopa,20
Asa de galinha ou frango cozido(a),AVES,Concha,80
Asa de galinha ou frango cozido(a),AVES,Asa,40
Asa de galinha ou frango cozido(a),AVES,Unidade,40
Asa de galinha ou frango cru(a),AVES,Porção,100
Asa de galinha ou frango cru(a),AVES,Colher de Arroz,40
Asa de galinha ou frango cru(a),AVES,Colher de Sopa,20
Asa de galinha ou frango cru(a),AVES,Concha,80
Asa de galinha ou frango cru(a),AVES,Asa,40
Asa de galinha ou frango cru(a),AVES,Unidade,40
Asa de galinha ou frango empanado(a)/a milanesa,AVES,Porção,100
Asa de galinha ou frango empanado(a)/a milanesa,AVES,Colher de Arroz,40
Asa de galinha ou frango empanado(a)/a milanesa,AVES,Colher de Sopa,20
Asa de galinha ou frango empanado(a)/a milanesa,AVES,Concha,80
Asa de galinha ou frango empanado(a)/a milanesa,AVES,Asa,40
Asa de galinha ou frango empanado(a)/a milanesa,AVES,Unidade,40
Asa de galinha ou frango ensopado,AVES,Porção,100
Asa de galinha ou frango ensopado,AVES,Colher de Arroz,40
Asa de galinha ou frango ensopado,AVES,Colher de Sopa,20
Asa de galinha ou frango ensopado,AVES,Concha,80
Asa de galinha ou frango ensopado,AVES,Asa,40
Asa de galinha ou frango ensopado,AVES,Unidade,40
Asa de galinha ou frango frito(a),AVES,Porção,100
Asa de galinha ou frango frito(a),AVES,Colher de Arroz,40
Asa de galinha ou frango frito(a),AVES,Colher de Sopa,20
Asa de galinha ou frango frito(a),AVES,Concha,80
Asa de galinha ou frango frito(a),AVES,Asa,40
Asa de galinha ou frango frito(a),AVES,Unidade,40
Asa de galinha ou frango grelhado(a)/brasa/churrasco,AVES,Porção,100
Asa de galinha ou frango grelhado(a)/brasa/churrasco,AVES,Colher de Arroz,40
Asa de galinha ou frango grelhado(a)/brasa/churrasco,AVES,Colher de Sopa,20
Asa de galinha ou frango grelhado(a)/brasa/churrasco,AVES,Concha,80
Asa de galinha ou frango grelhado(a)/brasa/churrasco,AVES,Asa,40
Asa de galinha ou frango grelhado(a)/brasa/churrasco,AVES,Unidade,40
Asa de galinha ou frango molho vermelho,AVES,Porção,100
Asa de galinha ou frango molho vermelho,AVES,Colher de Arroz,40
Asa de galinha ou frango molho vermelho,AVES,Colher de Sopa,20
Asa de galinha ou frango molho vermelho,AVES,Concha,80
Asa de galinha ou frango molho vermelho,AVES,Asa,40
Asa de galinha ou frango molho vermelho,AVES,Unidade,40
Asa de galinha ou frango refogado(a),AVES,Porção,100
Asa de galinha ou frango refogado(a),AVES,Colher de Arroz,40
Asa de galinha ou frango refogado(a),AVES,Colher de Sopa,20
Asa de galinha ou frango refogado(a),AVES,Concha,80
Asa de galinha ou frango refogado(a),AVES,Asa,40
Asa de galinha ou frango refogado(a),AVES,Unidade,40
Asa de peru assado(a),AVES,Pedaço,174
Asa de peru assado(a),AVES,Asa,174
Asa de peru cozido(a),AVES,Pedaço,174
Asa de peru cozido(a),AVES,Asa,174
Atum em conserva,CONSERVAS,Colher de Sopa,20
Atum em conserva light,CONSERVAS,Colher de Sopa,20
Atum em óleo,,Colher de Sopa,20
Atum em pedaços -Coqueiro®,,Colher de Sopa,20
Atum em pedaços light -Coqueiro®,,Colher de Sopa,20
Atum fresco (cru),,Porção,120
Atum fresco (cru),,Colher de Sopa,20
Atum sólido - Coqueiro®,,Colher de Sopa,20
Atum sólido ao natural -CPC®,,Porção,120
Atum sólido ao natural -CPC®,,Colher de Sopa,20
Atum sólido em óleo vegetal - Gomes da Costa®,,Porção,120
Atum sólido em óleo vegetal - Gomes da Costa®,,Colher de Sopa,20
Atum sólido light - Coqueiro®,,Porção,120
Atum sólido light - Coqueiro®,,Colher de Sopa,20
"Atum, conserva em óleo",,Colher de Sopa,20
"Atum, fresco, cru",,Porção,120
"Atum, fresco, cru",,Colher de Sopa,20
Aveia em flocos,CEREAIS,Porção,38
Aveia em flocos,CEREAIS,Colher de Arroz,30
Aveia em flocos,CEREAIS,Colher de Sopa,15
Aveia em flocos,CEREAIS,Colher de Chá,2
Aveia em flocos,CEREAIS,Colher de Café,1
Aveia em flocos,CEREAIS,Colher de Sobremesa,7
Aveia em flocos - Quaker®,,Porção,38
