Descrição do Alimento,GRUPO,File,Bife,Fatia,Pedaço,Porção,Colher de Arroz,Colher de Sopa,Concha,Escumadeira,Colher de Chá,Colher de Café,Colher de Sobremesa,Copo Americano,Copo Médio,Copo Grande,Pegador,Pote,Prato Sobremesa,Prato Fundo,Prato Raso,Tigela,Xícara de Chá,Asa,Peito,Coxa,Sobrecoxa,Costela,Pescoço,Unidade,Unidade Pequena,Metade,Banda,Punhado,Garrafa 200ml,Caneca,Folha,Nova Medida 1,Nova Medida 2,Nova Medida 3,Nova Medida 4,Nova Medida 5,Nova Medida 6,Nova Medida 7,Nova Medida 8,Nova Medida 9,Nova Medida 10,Nova Medida 11,Nova Medida 12
Brócolis congelado -Bonduelle®,,,,,,,,30,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,
Brócolis cozido(a),HORTALIÇAS,,,,,60,20,10,40,,,,,,,,10,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
Brócolis cru(a),HORTALIÇAS,,,,,60,20,10,40,,,,,,,,10,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
Brócolis empanado(a)/a milanesa,HORTALIÇAS,,,,,60,20,10,40,,,,,,,,10,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
Brócolis refogado(a),HORTALIÇAS,,,,,60,20,10,40,,,,,,,,10,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
"Brócolis, cozido",,,,,,60,20,10,40,,,,,,,,10,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
"Brócolis, cru",,,,,,60,20,10,40,,,,,,,,10,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
Brócolis-ninja - Ki-salada®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broto de alfafa,HORTALIÇAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broto de alfafa (cru),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broto de bambu (cru),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broto de feijão (cozido),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broto de feijão (cru),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broto de feijão cozido(a),LEGUMINOSAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broto de feijão cru(a),LEGUMINOSAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchada de bode (IBGE),VISCERAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchada de bode (Tucunduva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucho (cozido) - carne bovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucho (cru) - carne bovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buriti,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butia,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabeça de lombo (carne bovina) assado(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabeça de lombo (carne bovina) cozido(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabeça de lombo (carne bovina) empanado(a)/a milanesa,CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabeça de lombo (carne bovina) frito(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabeça de lombo (carne bovina) grelhado(a)/brasa/churrasco,CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabeça de lombo (carne bovina) orgânica assado(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabeça de lombo (carne bovina) orgânica cru(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabeça de lombo (carne bovina) orgânica frito(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabeça de lombo (carne bovina) refogado(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cação em posta (cozido),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cação em posta (cru),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cacao Whey Box, 15Uni/30G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cacao Whey Lata, 450G, 15Doses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cacao Whey Lata, 900G, 30Doses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cacao Whey Sachê, 1Uni/30G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cação, posta, com farinha de trigo, frita",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cação, posta, cozida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cação, posta, crua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caçarola italiana,TIPICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacau,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacau em pó - Garoto®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cacau, cru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cacau, in natura, Theobroma arábi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cachaça,BEBIDAS ALCOOLICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cachaça da terra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cachorro quente,LANCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cachorro quente completo(1 salsicha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cachorro quente completo(2 salsichas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café,BEBIDAS QUENTES,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Café capuccino soluvel diet,BEBIDAS QUENTES,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Café capuccino soluvel light,BEBIDAS QUENTES,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Café com açúcar (infusão),,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café com farinha,BEBIDAS QUENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café com leite,BEBIDAS QUENTES,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Café da manha,BEBIDAS QUENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café em pó,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café instantâneo em pó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café sem açúcar (infusão),,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café solúvel - Melitta®,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café soluvel capuccino,BEBIDAS QUENTES,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Café solúvel original Nescafé- Nestlé®,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Café tipo capuccino,BEBIDAS QUENTES,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Café tipo expresso,BEBIDAS QUENTES,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Café torrado e moído - Pelé®,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Café, infusão 10%",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Café, pó, torrado (TACO)",,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Café, pó, torrado (TBCA)",,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caipirinha (IBGE),BEBIDAS ALCOOLICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caipirinha (Tucunduva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caja manga,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cajá, polpa, congelada (TACO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cajá, polpa, congelada (TBCA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cajá-Manga, cru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cajá-Manga, in natura, Spondias dulcis Parkinson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cajarana,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caju (IBGE),FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caju (Tucunduva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caju (polpa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caju em pasta,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caju, castanha, torrada, c/ sal, Anacardium occidentale L.",,,,,,10,,15,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
"Caju, cru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caju, polpa, congelada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caju, polpa, congelado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caju, polpa, in natura, Anacardium occidentale L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caju, refresco, c/ suco concentrado , c/ açúcar refinado",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Caju, refresco, c/ suco concentrado , s/ açúcar",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Caju, suco concentrado, envasado",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
"Caju, suco, concentrado, envasado",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Caju-ameixa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cajuina,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldeirada de tucunaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldeirada paraense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de bacon Maggi -Nestlé®,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de camarão à oliveira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de cana (IBGE),SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Caldo de cana (Tucunduva),,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de caridade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de carne,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de carne Maggi -Nestlé®,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de carne Sazón -Ajinomotoe,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caldo de carne, tablete",,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de feijão,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de galinha em pó (0%de gordura) - Maggie,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de galinha Maggi -Nestlé®,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caldo de galinha, tablete",,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de legumes Sazón -Ajinomoto®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de mocoto,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de peixe,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo de tomate,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldo verde,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caldo, carne, tablete, ""Maggi""",,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caldo, carne/galinha, tablete (média diferentes sabores)",,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caldo, galinha, tablete, ""Maggi""",,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calzone,TIPICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarão,PESCADOS/FRUTOS DO MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarão  cozido(a),PESCADOS/FRUTOS DO MAR,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Camarão (cozido),,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Camarão (cru),,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Camarão à baiana (TACO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarão à baiana (TBCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarão à milanesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarão ao alho e oleo,PESCADOS/FRUTOS DO MAR,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Camarão assado(a),PESCADOS/FRUTOS DO MAR,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarão cru(a),PESCADOS/FRUTOS DO MAR,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Camarão empanado(a)/a milanesa,PESCADOS/FRUTOS DO MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarão ensopado,PESCADOS/FRUTOS DO MAR,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Camarão frito com casca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarão frito(a),PESCADOS/FRUTOS DO MAR,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Camarão grelhado(a)/brasa/churrasco,PESCADOS/FRUTOS DO MAR,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarão molho branco,PESCADOS/FRUTOS DO MAR,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Camarão molho vermelho,PESCADOS/FRUTOS DO MAR,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Camarão na moranga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camarão refogado(a),PESCADOS/FRUTOS DO MAR,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
"Camarão, Rio Grande, grande, cozido",,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
"Camarão, Rio Grande, grande, cru",,,,,,190,35,20,70,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
"Camarão, Sete Barbas, sem cabeça, com casca, frito",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cana de açúcar,ADOÇANTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cana, aguardente 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cana, caldo",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cana, caldo de",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Canela em pó,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canelone à bolonhesa -Nestlé®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canelone de ricota - Nestlé®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caneloni,FARINHAS/FÉCULAS/MASSAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canja,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canja de galinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canjica (IBGE),TIPICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canjica (Tucunduva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canjica, branca, crua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canjica, com leite integral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canjica, milho, branca, cozida, c/ leite integral e açúcar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canjica, milho, branca, cozida, drenada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canjica, milho, branca, crua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canjiquinha de milho em grão,TIPICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canjiquinha de milho em grão cozido(a),TIPICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canjiquinha de milho em grão cru(a),TIPICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canjiquinha de milho em grão ensopado,TIPICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canjiquinha de milho em grão mingau,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canjiquinha de milho em grão sopa,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canudinho recheado,FARINHAS/FÉCULAS/MASSAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capa de contrafilé com gordura (crua) - carne bovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capa de contrafilé com gordura (grelhada) - carne bovina (Tucunduva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capa de contrafilé com gordura (grelhada) - carne bovina (Tucunduva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capa de contrafilé comgordura (crua) - carne bovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capelete de preseunto tender com molho branco congelado - Sadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capeleti,PREPARADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capote  assado(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capote  cozido(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capote  frito(a),CARNE BOVINA,100,100,90,35,75,70,30,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cappuccino cremoso menta - Cacique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cappuccino em pó,,,,,,,,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cappuccino em pó dietético - Doce Menor,,,,,,,,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cappuccino Whey Box, 14Uni/32G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cappuccino Whey Lata, 448G, 14Doses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cappuccino Whey Sachê, 1Uni/32G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capuccino, pó",,,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caqui (IBGE),FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caqui (Tucunduva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caqui, chocolate, cru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caqui, in natura, Diospyros kaki L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cará (cozido),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cará (cru),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cara cozido(a),TUBERCULOS,,,,100,126,60,30,120,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cara ensopado,TUBERCULOS,,,,100,126,60,30,120,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cara frito(a),TUBERCULOS,,,,100,126,60,30,120,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cara mingau,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cara refogado(a),TUBERCULOS,,,,100,126,60,30,120,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cara sopa,SOPAS/CALDOS/MINGAUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cará, cozido",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cará, cru",,,,,100,126,60,30,120,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
